OMRÅDE,KØN,ALDER,HERKOMST,TID,INDHOLD
All Denmark,Total,1 year,Immigrants from non-western countries,2012Q1,350
All Denmark,Total,10 years,Immigrants from non-western countries,2012Q1,731
All Denmark,Total,100 years,Immigrants from non-western countries,2012Q1,3
All Denmark,Total,101 years,Immigrants from non-western countries,2012Q1,1
All Denmark,Total,103 years,Immigrants from non-western countries,2012Q1,1
All Denmark,Total,11 years,Immigrants from non-western countries,2012Q1,967
All Denmark,Total,12 years,Immigrants from non-western countries,2012Q1,1151
All Denmark,Total,13 years,Immigrants from non-western countries,2012Q1,1455
All Denmark,Total,14 years,Immigrants from non-western countries,2012Q1,1686
All Denmark,Total,15 years,Immigrants from non-western countries,2012Q1,1889
All Denmark,Total,16 years,Immigrants from non-western countries,2012Q1,2078
All Denmark,Total,17 years,Immigrants from non-western countries,2012Q1,2423
All Denmark,Total,18 years,Immigrants from non-western countries,2012Q1,2356
All Denmark,Total,19 years,Immigrants from non-western countries,2012Q1,2864
All Denmark,Total,2 years,Immigrants from non-western countries,2012Q1,468
All Denmark,Total,20 years,Immigrants from non-western countries,2012Q1,3252
All Denmark,Total,21 years,Immigrants from non-western countries,2012Q1,4032
All Denmark,Total,22 years,Immigrants from non-western countries,2012Q1,4381
All Denmark,Total,23 years,Immigrants from non-western countries,2012Q1,4945
All Denmark,Total,24 years,Immigrants from non-western countries,2012Q1,5407
All Denmark,Total,25 years,Immigrants from non-western countries,2012Q1,5856
All Denmark,Total,26 years,Immigrants from non-western countries,2012Q1,6267
All Denmark,Total,27 years,Immigrants from non-western countries,2012Q1,6593
All Denmark,Total,28 years,Immigrants from non-western countries,2012Q1,6694
All Denmark,Total,29 years,Immigrants from non-western countries,2012Q1,6711
All Denmark,Total,3 years,Immigrants from non-western countries,2012Q1,593
All Denmark,Total,30 years,Immigrants from non-western countries,2012Q1,6583
All Denmark,Total,31 years,Immigrants from non-western countries,2012Q1,6515
All Denmark,Total,32 years,Immigrants from non-western countries,2012Q1,6257
All Denmark,Total,33 years,Immigrants from non-western countries,2012Q1,6289
All Denmark,Total,34 years,Immigrants from non-western countries,2012Q1,6173
All Denmark,Total,35 years,Immigrants from non-western countries,2012Q1,6096
All Denmark,Total,36 years,Immigrants from non-western countries,2012Q1,6118
All Denmark,Total,37 years,Immigrants from non-western countries,2012Q1,6243
All Denmark,Total,38 years,Immigrants from non-western countries,2012Q1,6070
All Denmark,Total,39 years,Immigrants from non-western countries,2012Q1,6156
All Denmark,Total,4 years,Immigrants from non-western countries,2012Q1,621
All Denmark,Total,40 years,Immigrants from non-western countries,2012Q1,5770
All Denmark,Total,41 years,Immigrants from non-western countries,2012Q1,6650
All Denmark,Total,42 years,Immigrants from non-western countries,2012Q1,6403
All Denmark,Total,43 years,Immigrants from non-western countries,2012Q1,6404
All Denmark,Total,44 years,Immigrants from non-western countries,2012Q1,5939
All Denmark,Total,45 years,Immigrants from non-western countries,2012Q1,6043
All Denmark,Total,46 years,Immigrants from non-western countries,2012Q1,6058
All Denmark,Total,47 years,Immigrants from non-western countries,2012Q1,5972
All Denmark,Total,48 years,Immigrants from non-western countries,2012Q1,5515
All Denmark,Total,49 years,Immigrants from non-western countries,2012Q1,5409
All Denmark,Total,5 years,Immigrants from non-western countries,2012Q1,691
All Denmark,Total,50 years,Immigrants from non-western countries,2012Q1,4784
All Denmark,Total,51 years,Immigrants from non-western countries,2012Q1,4947
All Denmark,Total,52 years,Immigrants from non-western countries,2012Q1,4167
All Denmark,Total,53 years,Immigrants from non-western countries,2012Q1,3947
All Denmark,Total,54 years,Immigrants from non-western countries,2012Q1,3563
All Denmark,Total,55 years,Immigrants from non-western countries,2012Q1,3535
All Denmark,Total,56 years,Immigrants from non-western countries,2012Q1,3229
All Denmark,Total,57 years,Immigrants from non-western countries,2012Q1,2877
All Denmark,Total,58 years,Immigrants from non-western countries,2012Q1,2616
All Denmark,Total,59 years,Immigrants from non-western countries,2012Q1,2488
All Denmark,Total,6 years,Immigrants from non-western countries,2012Q1,704
All Denmark,Total,60 years,Immigrants from non-western countries,2012Q1,2060
All Denmark,Total,61 years,Immigrants from non-western countries,2012Q1,2149
All Denmark,Total,62 years,Immigrants from non-western countries,2012Q1,1953
All Denmark,Total,63 years,Immigrants from non-western countries,2012Q1,1839
All Denmark,Total,64 years,Immigrants from non-western countries,2012Q1,1732
All Denmark,Total,65 years,Immigrants from non-western countries,2012Q1,1555
All Denmark,Total,66 years,Immigrants from non-western countries,2012Q1,1462
All Denmark,Total,67 years,Immigrants from non-western countries,2012Q1,1281
All Denmark,Total,68 years,Immigrants from non-western countries,2012Q1,1158
All Denmark,Total,69 years,Immigrants from non-western countries,2012Q1,1094
All Denmark,Total,7 years,Immigrants from non-western countries,2012Q1,646
All Denmark,Total,70 years,Immigrants from non-western countries,2012Q1,985
All Denmark,Total,71 years,Immigrants from non-western countries,2012Q1,982
All Denmark,Total,72 years,Immigrants from non-western countries,2012Q1,856
All Denmark,Total,73 years,Immigrants from non-western countries,2012Q1,780
All Denmark,Total,74 years,Immigrants from non-western countries,2012Q1,687
All Denmark,Total,75 years,Immigrants from non-western countries,2012Q1,615
All Denmark,Total,76 years,Immigrants from non-western countries,2012Q1,607
All Denmark,Total,77 years,Immigrants from non-western countries,2012Q1,480
All Denmark,Total,78 years,Immigrants from non-western countries,2012Q1,466
All Denmark,Total,79 years,Immigrants from non-western countries,2012Q1,443
All Denmark,Total,8 years,Immigrants from non-western countries,2012Q1,637
All Denmark,Total,80 years,Immigrants from non-western countries,2012Q1,375
All Denmark,Total,81 years,Immigrants from non-western countries,2012Q1,394
All Denmark,Total,82 years,Immigrants from non-western countries,2012Q1,286
All Denmark,Total,83 years,Immigrants from non-western countries,2012Q1,261
All Denmark,Total,84 years,Immigrants from non-western countries,2012Q1,235
All Denmark,Total,85 years,Immigrants from non-western countries,2012Q1,156
All Denmark,Total,86 years,Immigrants from non-western countries,2012Q1,178
All Denmark,Total,87 years,Immigrants from non-western countries,2012Q1,120
All Denmark,Total,88 years,Immigrants from non-western countries,2012Q1,96
All Denmark,Total,89 years,Immigrants from non-western countries,2012Q1,80
All Denmark,Total,9 years,Immigrants from non-western countries,2012Q1,657
All Denmark,Total,90 years,Immigrants from non-western countries,2012Q1,61
All Denmark,Total,91 years,Immigrants from non-western countries,2012Q1,47
All Denmark,Total,92 years,Immigrants from non-western countries,2012Q1,21
All Denmark,Total,93 years,Immigrants from non-western countries,2012Q1,19
All Denmark,Total,94 years,Immigrants from non-western countries,2012Q1,19
All Denmark,Total,95 years,Immigrants from non-western countries,2012Q1,13
All Denmark,Total,96 years,Immigrants from non-western countries,2012Q1,13
All Denmark,Total,97 years,Immigrants from non-western countries,2012Q1,7
All Denmark,Total,98 years,Immigrants from non-western countries,2012Q1,4
All Denmark,Total,99 years,Immigrants from non-western countries,2012Q1,3
All Denmark,Total,"Age, total",Immigrants from non-western countries,2012Q1,261597
All Denmark,Total,0 years,Immigrants from non-western countries,2013Q1,94
All Denmark,Total,1 year,Immigrants from non-western countries,2013Q1,345
All Denmark,Total,10 years,Immigrants from non-western countries,2013Q1,732
All Denmark,Total,100 years,Immigrants from non-western countries,2013Q1,2
All Denmark,Total,101 years,Immigrants from non-western countries,2013Q1,4
All Denmark,Total,102 years,Immigrants from non-western countries,2013Q1,1
All Denmark,Total,104 years,Immigrants from non-western countries,2013Q1,1
All Denmark,Total,11 years,Immigrants from non-western countries,2013Q1,800
All Denmark,Total,12 years,Immigrants from non-western countries,2013Q1,1028
All Denmark,Total,13 years,Immigrants from non-western countries,2013Q1,1200
All Denmark,Total,14 years,Immigrants from non-western countries,2013Q1,1517
All Denmark,Total,15 years,Immigrants from non-western countries,2013Q1,1773
All Denmark,Total,16 years,Immigrants from non-western countries,2013Q1,2031
All Denmark,Total,17 years,Immigrants from non-western countries,2013Q1,2206
All Denmark,Total,18 years,Immigrants from non-western countries,2013Q1,2485
All Denmark,Total,19 years,Immigrants from non-western countries,2013Q1,2436
All Denmark,Total,2 years,Immigrants from non-western countries,2013Q1,527
All Denmark,Total,20 years,Immigrants from non-western countries,2013Q1,3143
All Denmark,Total,21 years,Immigrants from non-western countries,2013Q1,3645
All Denmark,Total,22 years,Immigrants from non-western countries,2013Q1,4391
All Denmark,Total,23 years,Immigrants from non-western countries,2013Q1,4778
All Denmark,Total,24 years,Immigrants from non-western countries,2013Q1,5249
All Denmark,Total,25 years,Immigrants from non-western countries,2013Q1,5699
All Denmark,Total,26 years,Immigrants from non-western countries,2013Q1,6194
All Denmark,Total,27 years,Immigrants from non-western countries,2013Q1,6607
All Denmark,Total,28 years,Immigrants from non-western countries,2013Q1,6850
All Denmark,Total,29 years,Immigrants from non-western countries,2013Q1,6865
All Denmark,Total,3 years,Immigrants from non-western countries,2013Q1,615
All Denmark,Total,30 years,Immigrants from non-western countries,2013Q1,6824
All Denmark,Total,31 years,Immigrants from non-western countries,2013Q1,6632
All Denmark,Total,32 years,Immigrants from non-western countries,2013Q1,6635
All Denmark,Total,33 years,Immigrants from non-western countries,2013Q1,6345
All Denmark,Total,34 years,Immigrants from non-western countries,2013Q1,6394
All Denmark,Total,35 years,Immigrants from non-western countries,2013Q1,6267
All Denmark,Total,36 years,Immigrants from non-western countries,2013Q1,6186
All Denmark,Total,37 years,Immigrants from non-western countries,2013Q1,6197
All Denmark,Total,38 years,Immigrants from non-western countries,2013Q1,6283
All Denmark,Total,39 years,Immigrants from non-western countries,2013Q1,6089
All Denmark,Total,4 years,Immigrants from non-western countries,2013Q1,726
All Denmark,Total,40 years,Immigrants from non-western countries,2013Q1,6206
All Denmark,Total,41 years,Immigrants from non-western countries,2013Q1,5802
All Denmark,Total,42 years,Immigrants from non-western countries,2013Q1,6657
All Denmark,Total,43 years,Immigrants from non-western countries,2013Q1,6403
All Denmark,Total,44 years,Immigrants from non-western countries,2013Q1,6405
All Denmark,Total,45 years,Immigrants from non-western countries,2013Q1,5953
All Denmark,Total,46 years,Immigrants from non-western countries,2013Q1,6047
All Denmark,Total,47 years,Immigrants from non-western countries,2013Q1,6074
All Denmark,Total,48 years,Immigrants from non-western countries,2013Q1,5951
All Denmark,Total,49 years,Immigrants from non-western countries,2013Q1,5498
All Denmark,Total,5 years,Immigrants from non-western countries,2013Q1,730
All Denmark,Total,50 years,Immigrants from non-western countries,2013Q1,5401
All Denmark,Total,51 years,Immigrants from non-western countries,2013Q1,4758
All Denmark,Total,52 years,Immigrants from non-western countries,2013Q1,4913
All Denmark,Total,53 years,Immigrants from non-western countries,2013Q1,4147
All Denmark,Total,54 years,Immigrants from non-western countries,2013Q1,3948
All Denmark,Total,55 years,Immigrants from non-western countries,2013Q1,3548
All Denmark,Total,56 years,Immigrants from non-western countries,2013Q1,3514
All Denmark,Total,57 years,Immigrants from non-western countries,2013Q1,3190
All Denmark,Total,58 years,Immigrants from non-western countries,2013Q1,2845
All Denmark,Total,59 years,Immigrants from non-western countries,2013Q1,2602
All Denmark,Total,6 years,Immigrants from non-western countries,2013Q1,784
All Denmark,Total,60 years,Immigrants from non-western countries,2013Q1,2459
All Denmark,Total,61 years,Immigrants from non-western countries,2013Q1,2040
All Denmark,Total,62 years,Immigrants from non-western countries,2013Q1,2137
All Denmark,Total,63 years,Immigrants from non-western countries,2013Q1,1934
All Denmark,Total,64 years,Immigrants from non-western countries,2013Q1,1825
All Denmark,Total,65 years,Immigrants from non-western countries,2013Q1,1707
All Denmark,Total,66 years,Immigrants from non-western countries,2013Q1,1522
All Denmark,Total,67 years,Immigrants from non-western countries,2013Q1,1440
All Denmark,Total,68 years,Immigrants from non-western countries,2013Q1,1248
All Denmark,Total,69 years,Immigrants from non-western countries,2013Q1,1145
All Denmark,Total,7 years,Immigrants from non-western countries,2013Q1,798
All Denmark,Total,70 years,Immigrants from non-western countries,2013Q1,1060
All Denmark,Total,71 years,Immigrants from non-western countries,2013Q1,950
All Denmark,Total,72 years,Immigrants from non-western countries,2013Q1,941
All Denmark,Total,73 years,Immigrants from non-western countries,2013Q1,831
All Denmark,Total,74 years,Immigrants from non-western countries,2013Q1,750
All Denmark,Total,75 years,Immigrants from non-western countries,2013Q1,663
All Denmark,Total,76 years,Immigrants from non-western countries,2013Q1,571
All Denmark,Total,77 years,Immigrants from non-western countries,2013Q1,578
All Denmark,Total,78 years,Immigrants from non-western countries,2013Q1,447
All Denmark,Total,79 years,Immigrants from non-western countries,2013Q1,428
All Denmark,Total,8 years,Immigrants from non-western countries,2013Q1,733
All Denmark,Total,80 years,Immigrants from non-western countries,2013Q1,404
All Denmark,Total,81 years,Immigrants from non-western countries,2013Q1,341
All Denmark,Total,82 years,Immigrants from non-western countries,2013Q1,355
All Denmark,Total,83 years,Immigrants from non-western countries,2013Q1,271
All Denmark,Total,84 years,Immigrants from non-western countries,2013Q1,234
All Denmark,Total,85 years,Immigrants from non-western countries,2013Q1,217
All Denmark,Total,86 years,Immigrants from non-western countries,2013Q1,143
All Denmark,Total,87 years,Immigrants from non-western countries,2013Q1,164
All Denmark,Total,88 years,Immigrants from non-western countries,2013Q1,110
All Denmark,Total,89 years,Immigrants from non-western countries,2013Q1,85
All Denmark,Total,9 years,Immigrants from non-western countries,2013Q1,716
All Denmark,Total,90 years,Immigrants from non-western countries,2013Q1,71
All Denmark,Total,91 years,Immigrants from non-western countries,2013Q1,47
All Denmark,Total,92 years,Immigrants from non-western countries,2013Q1,45
All Denmark,Total,93 years,Immigrants from non-western countries,2013Q1,16
All Denmark,Total,94 years,Immigrants from non-western countries,2013Q1,17
All Denmark,Total,95 years,Immigrants from non-western countries,2013Q1,18
All Denmark,Total,96 years,Immigrants from non-western countries,2013Q1,12
All Denmark,Total,97 years,Immigrants from non-western countries,2013Q1,11
All Denmark,Total,98 years,Immigrants from non-western countries,2013Q1,7
All Denmark,Total,99 years,Immigrants from non-western countries,2013Q1,3
All Denmark,Total,"Age, total",Immigrants from non-western countries,2013Q1,266666
All Denmark,Total,0 years,Immigrants from non-western countries,2014Q1,92
All Denmark,Total,1 year,Immigrants from non-western countries,2014Q1,386
All Denmark,Total,10 years,Immigrants from non-western countries,2014Q1,853
All Denmark,Total,100 years,Immigrants from non-western countries,2014Q1,3
All Denmark,Total,101 years,Immigrants from non-western countries,2014Q1,2
All Denmark,Total,102 years,Immigrants from non-western countries,2014Q1,1
All Denmark,Total,103 years,Immigrants from non-western countries,2014Q1,1
All Denmark,Total,11 years,Immigrants from non-western countries,2014Q1,863
All Denmark,Total,12 years,Immigrants from non-western countries,2014Q1,912
All Denmark,Total,13 years,Immigrants from non-western countries,2014Q1,1136
All Denmark,Total,14 years,Immigrants from non-western countries,2014Q1,1305
All Denmark,Total,15 years,Immigrants from non-western countries,2014Q1,1622
All Denmark,Total,16 years,Immigrants from non-western countries,2014Q1,1954
All Denmark,Total,17 years,Immigrants from non-western countries,2014Q1,2164
All Denmark,Total,18 years,Immigrants from non-western countries,2014Q1,2319
All Denmark,Total,19 years,Immigrants from non-western countries,2014Q1,2639
All Denmark,Total,2 years,Immigrants from non-western countries,2014Q1,571
All Denmark,Total,20 years,Immigrants from non-western countries,2014Q1,2780
All Denmark,Total,21 years,Immigrants from non-western countries,2014Q1,3569
All Denmark,Total,22 years,Immigrants from non-western countries,2014Q1,3986
All Denmark,Total,23 years,Immigrants from non-western countries,2014Q1,4781
All Denmark,Total,24 years,Immigrants from non-western countries,2014Q1,5197
All Denmark,Total,25 years,Immigrants from non-western countries,2014Q1,5820
All Denmark,Total,26 years,Immigrants from non-western countries,2014Q1,6303
All Denmark,Total,27 years,Immigrants from non-western countries,2014Q1,6718
All Denmark,Total,28 years,Immigrants from non-western countries,2014Q1,7057
All Denmark,Total,29 years,Immigrants from non-western countries,2014Q1,7228
All Denmark,Total,3 years,Immigrants from non-western countries,2014Q1,711
All Denmark,Total,30 years,Immigrants from non-western countries,2014Q1,7163
All Denmark,Total,31 years,Immigrants from non-western countries,2014Q1,7158
All Denmark,Total,32 years,Immigrants from non-western countries,2014Q1,6932
All Denmark,Total,33 years,Immigrants from non-western countries,2014Q1,6877
All Denmark,Total,34 years,Immigrants from non-western countries,2014Q1,6596
All Denmark,Total,35 years,Immigrants from non-western countries,2014Q1,6639
All Denmark,Total,36 years,Immigrants from non-western countries,2014Q1,6417
All Denmark,Total,37 years,Immigrants from non-western countries,2014Q1,6350
All Denmark,Total,38 years,Immigrants from non-western countries,2014Q1,6309
All Denmark,Total,39 years,Immigrants from non-western countries,2014Q1,6406
All Denmark,Total,4 years,Immigrants from non-western countries,2014Q1,756
All Denmark,Total,40 years,Immigrants from non-western countries,2014Q1,6214
All Denmark,Total,41 years,Immigrants from non-western countries,2014Q1,6325
All Denmark,Total,42 years,Immigrants from non-western countries,2014Q1,5884
All Denmark,Total,43 years,Immigrants from non-western countries,2014Q1,6740
All Denmark,Total,44 years,Immigrants from non-western countries,2014Q1,6460
All Denmark,Total,45 years,Immigrants from non-western countries,2014Q1,6458
All Denmark,Total,46 years,Immigrants from non-western countries,2014Q1,5996
All Denmark,Total,47 years,Immigrants from non-western countries,2014Q1,6062
All Denmark,Total,48 years,Immigrants from non-western countries,2014Q1,6079
All Denmark,Total,49 years,Immigrants from non-western countries,2014Q1,5954
All Denmark,Total,5 years,Immigrants from non-western countries,2014Q1,933
All Denmark,Total,50 years,Immigrants from non-western countries,2014Q1,5515
All Denmark,Total,51 years,Immigrants from non-western countries,2014Q1,5416
All Denmark,Total,52 years,Immigrants from non-western countries,2014Q1,4772
All Denmark,Total,53 years,Immigrants from non-western countries,2014Q1,4901
All Denmark,Total,54 years,Immigrants from non-western countries,2014Q1,4132
All Denmark,Total,55 years,Immigrants from non-western countries,2014Q1,3964
All Denmark,Total,56 years,Immigrants from non-western countries,2014Q1,3538
All Denmark,Total,57 years,Immigrants from non-western countries,2014Q1,3505
All Denmark,Total,58 years,Immigrants from non-western countries,2014Q1,3177
All Denmark,Total,59 years,Immigrants from non-western countries,2014Q1,2836
All Denmark,Total,6 years,Immigrants from non-western countries,2014Q1,923
All Denmark,Total,60 years,Immigrants from non-western countries,2014Q1,2602
All Denmark,Total,61 years,Immigrants from non-western countries,2014Q1,2437
All Denmark,Total,62 years,Immigrants from non-western countries,2014Q1,2035
All Denmark,Total,63 years,Immigrants from non-western countries,2014Q1,2127
All Denmark,Total,64 years,Immigrants from non-western countries,2014Q1,1918
All Denmark,Total,65 years,Immigrants from non-western countries,2014Q1,1811
All Denmark,Total,66 years,Immigrants from non-western countries,2014Q1,1671
All Denmark,Total,67 years,Immigrants from non-western countries,2014Q1,1499
All Denmark,Total,68 years,Immigrants from non-western countries,2014Q1,1420
All Denmark,Total,69 years,Immigrants from non-western countries,2014Q1,1232
All Denmark,Total,7 years,Immigrants from non-western countries,2014Q1,920
All Denmark,Total,70 years,Immigrants from non-western countries,2014Q1,1134
All Denmark,Total,71 years,Immigrants from non-western countries,2014Q1,1037
All Denmark,Total,72 years,Immigrants from non-western countries,2014Q1,922
All Denmark,Total,73 years,Immigrants from non-western countries,2014Q1,909
All Denmark,Total,74 years,Immigrants from non-western countries,2014Q1,800
All Denmark,Total,75 years,Immigrants from non-western countries,2014Q1,721
All Denmark,Total,76 years,Immigrants from non-western countries,2014Q1,637
All Denmark,Total,77 years,Immigrants from non-western countries,2014Q1,551
All Denmark,Total,78 years,Immigrants from non-western countries,2014Q1,545
All Denmark,Total,79 years,Immigrants from non-western countries,2014Q1,420
All Denmark,Total,8 years,Immigrants from non-western countries,2014Q1,935
All Denmark,Total,80 years,Immigrants from non-western countries,2014Q1,405
All Denmark,Total,81 years,Immigrants from non-western countries,2014Q1,377
All Denmark,Total,82 years,Immigrants from non-western countries,2014Q1,309
All Denmark,Total,83 years,Immigrants from non-western countries,2014Q1,319
All Denmark,Total,84 years,Immigrants from non-western countries,2014Q1,261
All Denmark,Total,85 years,Immigrants from non-western countries,2014Q1,199
All Denmark,Total,86 years,Immigrants from non-western countries,2014Q1,190
All Denmark,Total,87 years,Immigrants from non-western countries,2014Q1,124
All Denmark,Total,88 years,Immigrants from non-western countries,2014Q1,149
All Denmark,Total,89 years,Immigrants from non-western countries,2014Q1,94
All Denmark,Total,9 years,Immigrants from non-western countries,2014Q1,880
All Denmark,Total,90 years,Immigrants from non-western countries,2014Q1,74
All Denmark,Total,91 years,Immigrants from non-western countries,2014Q1,62
All Denmark,Total,92 years,Immigrants from non-western countries,2014Q1,39
All Denmark,Total,93 years,Immigrants from non-western countries,2014Q1,41
All Denmark,Total,94 years,Immigrants from non-western countries,2014Q1,10
All Denmark,Total,95 years,Immigrants from non-western countries,2014Q1,13
All Denmark,Total,96 years,Immigrants from non-western countries,2014Q1,14
All Denmark,Total,97 years,Immigrants from non-western countries,2014Q1,10
All Denmark,Total,98 years,Immigrants from non-western countries,2014Q1,11
All Denmark,Total,99 years,Immigrants from non-western countries,2014Q1,6
All Denmark,Total,"Age, total",Immigrants from non-western countries,2014Q1,276230
All Denmark,Total,0 years,Immigrants from non-western countries,2015Q1,123
All Denmark,Total,1 year,Immigrants from non-western countries,2015Q1,467
All Denmark,Total,10 years,Immigrants from non-western countries,2015Q1,1099
All Denmark,Total,100 years,Immigrants from non-western countries,2015Q1,4
All Denmark,Total,101 years,Immigrants from non-western countries,2015Q1,3
All Denmark,Total,102 years,Immigrants from non-western countries,2015Q1,1
All Denmark,Total,103 years,Immigrants from non-western countries,2015Q1,1
All Denmark,Total,104 years,Immigrants from non-western countries,2015Q1,1
All Denmark,Total,11 years,Immigrants from non-western countries,2015Q1,1043
All Denmark,Total,12 years,Immigrants from non-western countries,2015Q1,1031
All Denmark,Total,13 years,Immigrants from non-western countries,2015Q1,1054
All Denmark,Total,14 years,Immigrants from non-western countries,2015Q1,1282
All Denmark,Total,15 years,Immigrants from non-western countries,2015Q1,1474
All Denmark,Total,16 years,Immigrants from non-western countries,2015Q1,1904
All Denmark,Total,17 years,Immigrants from non-western countries,2015Q1,2191
All Denmark,Total,18 years,Immigrants from non-western countries,2015Q1,2343
All Denmark,Total,19 years,Immigrants from non-western countries,2015Q1,2587
All Denmark,Total,2 years,Immigrants from non-western countries,2015Q1,696
All Denmark,Total,20 years,Immigrants from non-western countries,2015Q1,3115
All Denmark,Total,21 years,Immigrants from non-western countries,2015Q1,3228
All Denmark,Total,22 years,Immigrants from non-western countries,2015Q1,4019
All Denmark,Total,23 years,Immigrants from non-western countries,2015Q1,4568
All Denmark,Total,24 years,Immigrants from non-western countries,2015Q1,5428
All Denmark,Total,25 years,Immigrants from non-western countries,2015Q1,5842
All Denmark,Total,26 years,Immigrants from non-western countries,2015Q1,6550
All Denmark,Total,27 years,Immigrants from non-western countries,2015Q1,6982
All Denmark,Total,28 years,Immigrants from non-western countries,2015Q1,7332
All Denmark,Total,29 years,Immigrants from non-western countries,2015Q1,7643
All Denmark,Total,3 years,Immigrants from non-western countries,2015Q1,860
All Denmark,Total,30 years,Immigrants from non-western countries,2015Q1,7760
All Denmark,Total,31 years,Immigrants from non-western countries,2015Q1,7637
All Denmark,Total,32 years,Immigrants from non-western countries,2015Q1,7553
All Denmark,Total,33 years,Immigrants from non-western countries,2015Q1,7275
All Denmark,Total,34 years,Immigrants from non-western countries,2015Q1,7241
All Denmark,Total,35 years,Immigrants from non-western countries,2015Q1,6876
All Denmark,Total,36 years,Immigrants from non-western countries,2015Q1,6888
All Denmark,Total,37 years,Immigrants from non-western countries,2015Q1,6674
All Denmark,Total,38 years,Immigrants from non-western countries,2015Q1,6565
All Denmark,Total,39 years,Immigrants from non-western countries,2015Q1,6532
All Denmark,Total,4 years,Immigrants from non-western countries,2015Q1,963
All Denmark,Total,40 years,Immigrants from non-western countries,2015Q1,6592
All Denmark,Total,41 years,Immigrants from non-western countries,2015Q1,6363
All Denmark,Total,42 years,Immigrants from non-western countries,2015Q1,6488
All Denmark,Total,43 years,Immigrants from non-western countries,2015Q1,6015
All Denmark,Total,44 years,Immigrants from non-western countries,2015Q1,6815
All Denmark,Total,45 years,Immigrants from non-western countries,2015Q1,6520
All Denmark,Total,46 years,Immigrants from non-western countries,2015Q1,6557
All Denmark,Total,47 years,Immigrants from non-western countries,2015Q1,6016
All Denmark,Total,48 years,Immigrants from non-western countries,2015Q1,6120
All Denmark,Total,49 years,Immigrants from non-western countries,2015Q1,6122
All Denmark,Total,5 years,Immigrants from non-western countries,2015Q1,999
All Denmark,Total,50 years,Immigrants from non-western countries,2015Q1,5989
All Denmark,Total,51 years,Immigrants from non-western countries,2015Q1,5531
All Denmark,Total,52 years,Immigrants from non-western countries,2015Q1,5411
All Denmark,Total,53 years,Immigrants from non-western countries,2015Q1,4789
All Denmark,Total,54 years,Immigrants from non-western countries,2015Q1,4935
All Denmark,Total,55 years,Immigrants from non-western countries,2015Q1,4127
All Denmark,Total,56 years,Immigrants from non-western countries,2015Q1,3956
All Denmark,Total,57 years,Immigrants from non-western countries,2015Q1,3529
All Denmark,Total,58 years,Immigrants from non-western countries,2015Q1,3493
All Denmark,Total,59 years,Immigrants from non-western countries,2015Q1,3189
All Denmark,Total,6 years,Immigrants from non-western countries,2015Q1,1171
All Denmark,Total,60 years,Immigrants from non-western countries,2015Q1,2834
All Denmark,Total,61 years,Immigrants from non-western countries,2015Q1,2585
All Denmark,Total,62 years,Immigrants from non-western countries,2015Q1,2431
All Denmark,Total,63 years,Immigrants from non-western countries,2015Q1,2027
All Denmark,Total,64 years,Immigrants from non-western countries,2015Q1,2123
All Denmark,Total,65 years,Immigrants from non-western countries,2015Q1,1915
All Denmark,Total,66 years,Immigrants from non-western countries,2015Q1,1805
All Denmark,Total,67 years,Immigrants from non-western countries,2015Q1,1650
All Denmark,Total,68 years,Immigrants from non-western countries,2015Q1,1478
All Denmark,Total,69 years,Immigrants from non-western countries,2015Q1,1406
All Denmark,Total,7 years,Immigrants from non-western countries,2015Q1,1155
All Denmark,Total,70 years,Immigrants from non-western countries,2015Q1,1201
All Denmark,Total,71 years,Immigrants from non-western countries,2015Q1,1116
All Denmark,Total,72 years,Immigrants from non-western countries,2015Q1,1014
All Denmark,Total,73 years,Immigrants from non-western countries,2015Q1,888
All Denmark,Total,74 years,Immigrants from non-western countries,2015Q1,888
All Denmark,Total,75 years,Immigrants from non-western countries,2015Q1,775
All Denmark,Total,76 years,Immigrants from non-western countries,2015Q1,691
All Denmark,Total,77 years,Immigrants from non-western countries,2015Q1,603
All Denmark,Total,78 years,Immigrants from non-western countries,2015Q1,516
All Denmark,Total,79 years,Immigrants from non-western countries,2015Q1,523
All Denmark,Total,8 years,Immigrants from non-western countries,2015Q1,1151
All Denmark,Total,80 years,Immigrants from non-western countries,2015Q1,399
All Denmark,Total,81 years,Immigrants from non-western countries,2015Q1,384
All Denmark,Total,82 years,Immigrants from non-western countries,2015Q1,350
All Denmark,Total,83 years,Immigrants from non-western countries,2015Q1,290
All Denmark,Total,84 years,Immigrants from non-western countries,2015Q1,292
All Denmark,Total,85 years,Immigrants from non-western countries,2015Q1,223
All Denmark,Total,86 years,Immigrants from non-western countries,2015Q1,176
All Denmark,Total,87 years,Immigrants from non-western countries,2015Q1,171
All Denmark,Total,88 years,Immigrants from non-western countries,2015Q1,114
All Denmark,Total,89 years,Immigrants from non-western countries,2015Q1,132
All Denmark,Total,9 years,Immigrants from non-western countries,2015Q1,1146
All Denmark,Total,90 years,Immigrants from non-western countries,2015Q1,85
All Denmark,Total,91 years,Immigrants from non-western countries,2015Q1,65
All Denmark,Total,92 years,Immigrants from non-western countries,2015Q1,56
All Denmark,Total,93 years,Immigrants from non-western countries,2015Q1,30
All Denmark,Total,94 years,Immigrants from non-western countries,2015Q1,38
All Denmark,Total,95 years,Immigrants from non-western countries,2015Q1,8
All Denmark,Total,96 years,Immigrants from non-western countries,2015Q1,10
